,name,assist_percentage,assists,block_percentage,blocks,box_plus_minus,conference,defensive_box_plus_minus,defensive_rebound_percentage,defensive_rebounds,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,games_played,games_started,height,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_rebounds,offensive_win_shares,personal_fouls,player_efficiency_rating,player_id,points,points_produced,position,steal_percentage,steals,team_abbreviation,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,weight,win_shares,win_shares_per_40_minutes
2021-22,Jaden Akins,8.2,25,1.8,9,3.2,big-ten,3.3,12.7,62,0.7,0.482,109,0.394,43,0.257,28,0.607,17,36,1,,532,-0.1,5.3,23,0.4,45,10.8,jaden-akins-1,122,125.0,Guard,2.4,22,michigan-state,0.459,50,0.38,19,9.2,85,0.499,16.4,24,59,0.407,24,14.1,,1.0,0.077
2021-22,Mady Sissoko,1.3,1,10.5,13,-1.5,big-ten,4.0,17.8,22,0.2,0.632,19,0.632,12,1.105,21,0.429,9,30,0,,134,-5.5,7.3,8,0.1,33,10.9,mady-sissoko-1,33,31.0,Center,0.4,1,michigan-state,0.0,0,,0,12.9,30,0.569,21.6,8,19,0.632,12,14.1,,0.3,0.082
2021-22,Pierre Brooks,7.3,4,0.0,0,-3.5,big-ten,-1.3,10.5,9,0.0,0.35,20,0.3,6,0.65,13,0.692,9,25,0,,93,-2.2,3.9,3,0.0,0,5.4,pierre-brooks-1,23,24.0,Guard,0.0,0,michigan-state,0.55,11,0.182,2,7.4,12,0.439,21.1,7,9,0.444,4,18.3,,0.0,0.002
2021-22,Keon Coleman,0.0,0,0.0,0,7.8,big-ten,10.1,0.0,0,0.0,0.5,5,0.4,2,0.0,0,,0,6,0,,10,-2.3,12.2,1,-0.1,0,17.1,keon-coleman-1,5,4.0,Forward,17.7,3,michigan-state,0.4,2,0.5,1,5.7,1,0.5,37.5,3,3,0.333,1,41.0,,0.0,-0.059
2021-22,Maliq Carr,0.0,0,0.0,0,-0.2,big-ten,0.7,0.0,0,0.0,,0,,0,,0,,0,1,0,,1,-1.0,0.0,0,0.0,0,0.0,maliq-carr-1,0,0.0,Guard,0.0,0,michigan-state,,0,,0,0.0,0,,,0,0,,0,0.0,,0.0,0.003
2021-22,Steven Izzo,0.0,0,0.0,0,-10.4,big-ten,-0.7,0.0,0,0.0,0.0,1,0.0,0,0.0,0,,0,8,0,,8,-9.7,0.0,0,0.0,1,-0.1,steven-izzo-1,0,0.0,Guard,7.4,1,michigan-state,1.0,1,0.0,0,0.0,0,0.0,0.0,0,0,,0,6.4,,0.0,-0.018
2021-22,Michael Peterson,0.0,0,8.3,1,-7.9,big-ten,0.3,16.7,2,0.0,0.0,2,0.0,0,0.0,0,,0,9,0,,13,-8.1,0.0,0,-0.1,0,-5.8,michael-peterson-1,0,0.0,Guard,0.0,0,michigan-state,0.5,1,0.0,0,8.8,2,0.0,33.3,1,1,0.0,0,11.8,,0.0,-0.138
2021-22,Davis Smith,7.7,1,0.0,0,-9.1,big-ten,-1.0,5.4,1,0.0,0.0,2,0.0,0,0.5,1,0.0,0,12,0,,20,-8.1,0.0,0,-0.1,2,-7.8,davis-smith-1,0,1.0,Guard,0.0,0,michigan-state,0.5,1,0.0,0,2.9,1,0.0,28.8,1,1,0.0,0,8.9,,-0.1,-0.109
2021-22,Hunter Dickinson,16.0,73,5.0,49,10.7,big-ten,2.9,22.6,199,1.4,0.588,426,0.563,240,0.272,116,0.802,93,32,32,,1034,7.8,9.1,75,4.2,87,28.8,hunter-dickinson-1,594,556.0,Center,0.9,15,michigan,0.15,64,0.328,21,16.1,274,0.617,11.9,65,362,0.605,219,27.4,,5.6,0.218
2021-22,Eli Brooks,15.0,100,0.3,4,6.2,big-ten,2.3,10.3,107,1.1,0.524,347,0.444,154,0.233,81,0.877,71,34,34,,1223,3.9,1.9,19,2.8,42,16.4,eli-brooks-1,435,421.0,Guard,1.9,40,michigan,0.409,142,0.394,56,6.2,126,0.564,11.3,49,205,0.478,98,18.4,,3.9,0.128
